short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
S. van de Streek,26,183,74,Netherlands,FC Utrecht,71,73,Right,High/Medium,,RCM,2017-07-01,2021,,,68,73,65,68,57,64,Beat Offside Trap
S. Ajayi,25,193,83,Nigeria,West Bromwich Albion,71,73,Right,Medium/Medium,,LCB,2019-07-20,2023,,,76,48,49,56,69,78,Diver
F. Ceccherini,27,187,75,Italy,Fiorentina,71,73,Right,Medium/Medium,,SUB,2018-07-16,2022,,,53,15,34,50,71,75,
P. Faragò,26,187,80,Italy,Cagliari,71,73,Right,Medium/Medium,,RES,2017-01-19,2022,,,67,57,70,69,65,68,
Koo Ja Ryong,27,183,77,Korea Republic,Suwon Samsung Bluewings,71,73,Right,Low/High,,RCB,2013-11-01,2023,,,74,29,45,50,70,75,
L. Galeano,27,184,84,Argentina,Club Atlético Aldosivi,71,73,Right,High/High,,RCB,2018-07-23,2020,,,56,35,56,57,71,74,"Leadership, Long Passer (CPU AI Only)"
A. Niane,26,182,70,Mali,Sporting de Charleroi,71,73,Right,Medium/Low,,ST,2018-08-31,2021,,,70,70,55,68,19,68,Injury Free
S. Decarli,27,188,82,Switzerland,VfL Bochum 1848,71,73,Right,Medium/High,,LCB,2019-07-01,2022,,,64,33,50,53,72,72,
R. López,26,185,74,Mexico,Pachuca,71,73,Right,High/Medium,,RB,2016-06-14,2024,,,77,64,72,69,64,68,Dives Into Tackles (CPU AI Only)
Helton Leite,28,196,92,Brazil,Boavista FC,71,73,Right,Medium/Medium,,SUB,2018-07-05,2021,,,,,,,,,
M. Herrera,27,185,78,Argentina,Defensa y Justicia,71,73,Right,Medium/Medium,,CB,,2020,,,66,48,58,57,67,80,Leadership
S. Silva,27,180,80,Chile,Coquimbo Unido,71,73,Right,Medium/Medium,,RCB,2019-01-01,2024,,,50,30,46,51,71,63,
A. Çalık,25,184,77,Turkey,Galatasaray SK,71,73,Right,Low/High,,SUB,2017-01-13,2021,,,67,40,53,60,71,71,Diver
N. Oroz,25,173,73,Argentina,Universidad de Chile,71,73,Left,High/Medium,,LCM,,2019,,,76,59,67,74,52,58,Early Crosser
A. Oğuz,26,176,83,Turkey,Gençlerbirliği SK,71,73,Right,High/Medium,,RB,2014-08-26,2021,,,76,59,68,72,67,71,"Inflexible, Early Crosser"
C. Yambéré,28,191,84,Central African Rep.,Ettifaq FC,71,73,Right,Medium/Medium,,RCB,2019-07-01,2022,,,58,31,48,53,70,74,
Kim Seung Joon,24,180,70,Korea Republic,Gyeongnam FC,71,73,Right,High/Medium,,LCM,2019-01-05,2020,,,83,66,64,72,35,68,"Selfish, Crowd Favourite"
R. Bajić,25,189,80,Bosnia Herzegovina,Atiker Konyaspor,71,73,Left,High/Medium,,ST,,2020,,,63,70,54,66,24,65,
Jadson,27,189,80,Brazil,Portimonense SC,71,73,Right,Medium/High,,RCB,2015-07-01,2024,,,62,30,39,41,72,75,
M. Mohammadi,25,178,74,Iran,CD Aves,71,73,Left,High/Low,,RS,2019-07-01,2022,,,85,70,66,75,33,59,"Injury Free, Beat Offside Trap, Selfish, Crowd Favourite"
J. Bostock,27,188,84,England,Nottingham Forest,71,72,Left,Medium/Medium,,SUB,,2020,,,64,69,71,70,62,75,"Selfish, Argues with Officials, Finesse Shot"
H. González,28,185,82,Mexico,Club Necaxa,71,72,Right,Medium/Medium,,GK,,2020,SUB,12,,,,,,,Swerve Pass
V. Kadlec,27,181,74,Czech Republic,Sparta Praha,71,72,Right,High/Medium,,RES,2016-09-01,2020,,,87,69,60,71,36,62,"Power Free-Kick, Selfish, Crowd Favourite"
J. Kirchhoff,28,195,90,Germany,KFC Uerdingen 05,71,72,Right,Low/High,#Aerial Threat,CDM,2019-07-01,2021,,,63,38,65,56,72,72,Leadership
L. Thy,27,184,78,Germany,PEC Zwolle,71,72,Right,High/Medium,,ST,2019-01-14,2020,,,76,69,62,67,46,76,
J. Siebenhandl,29,183,81,Austria,SK Sturm Graz,71,72,Left,Medium/Medium,,GK,2017-07-01,2020,,,,,,,,,"Swerve Pass, Acrobatic Clearance"
T. Lees,28,185,75,England,Sheffield Wednesday,71,72,Right,Medium/Medium,,RCB,2014-07-31,2021,,,57,36,55,61,71,74,
Pelé,27,182,77,Guinea Bissau,Reading,71,72,Right,Medium/High,,LDM,,2020,,,64,60,67,69,72,80,"Leadership, Argues with Officials"
Dani Jiménez,29,179,72,Spain,AD Alcorcón,71,72,Right,Medium/Medium,,GK,2015-07-03,2022,,,,,,,,,Avoids Using Weaker Foot
M. Peybernès,28,186,78,France,UD Almería,71,72,Right,Medium/Medium,,SUB,2019-07-24,2022,,,48,31,48,50,73,72,
D. Burn,27,198,87,England,Brighton & Hove Albion,71,72,Left,Low/Medium,#Strength,LCB,2018-08-09,2022,,,44,33,53,47,70,77,
C. Avevor,27,185,88,Germany,FC St. Pauli,71,72,Right,Medium/Medium,#Strength,RES,2016-07-01,2023,,,70,39,56,54,68,77,"Power Free-Kick, Long Passer (CPU AI Only)"
J. Zelený,26,190,81,Czech Republic,SK Slavia Praha,71,72,Left,High/Medium,,SUB,2018-07-01,2022,,,75,55,59,71,69,69,
K. Lamprou,27,178,84,Greece,Vitesse,71,72,Left,Medium/Medium,,SUB,2019-07-16,2020,,,,,,,,,"Flair, Second Wind"
T. Darikwa,27,187,77,Zimbabwe,Nottingham Forest,71,72,Right,High/Medium,#Speedster,RES,2017-07-26,2021,,,91,48,60,68,67,75,Early Crosser
M. te Wierik,27,191,73,Netherlands,FC Groningen,71,72,Right,Medium/Medium,,RCB,2017-07-01,2020,,,60,48,58,59,70,73,Inflexible
B. Pawłowski,26,178,70,Poland,Gazişehir Gaziantep F.K.,71,72,Right,High/Medium,#Speedster,SUB,2019-08-03,2022,,,90,65,64,73,28,63,"Injury Free, Selfish, Argues with Officials, Crowd Favourite"
T. Barkhuizen,25,175,70,England,Preston North End,71,72,Right,High/Medium,#Speedster,LM,2017-01-01,2022,,,94,65,59,71,40,67,"Inflexible, Early Crosser"
G. Wikheim,26,182,70,Norway,FC Midtjylland,71,72,Right,High/Low,#Acrobat,RS,2016-01-01,2021,,,87,59,64,74,44,55,"Injury Free, Selfish, Crowd Favourite"
Erik Morán,28,187,73,Spain,AEK Athens,71,72,Right,Medium/Medium,,RES,2018-01-02,2021,,,39,47,67,67,68,71,
A. Khalili,27,182,77,Sweden,Kasimpaşa SK,71,72,Right,Medium/Medium,,CDM,2018-07-01,2021,,,71,66,69,72,65,70,
William,27,182,74,Brazil,Al Faisaly,71,72,Right,Medium/Low,,ST,2019-07-01,2021,,,71,68,60,66,26,80,
J. Risdon,26,167,70,Australia,Western United FC,71,72,Right,High/Medium,,RWB,2019-07-24,2021,SUB,6,75,48,61,66,70,80,
O. Vranješ,29,182,76,Bosnia Herzegovina,AEK Athens,71,72,Right,Medium/High,,RCB,2018-07-01,2022,,,67,47,55,55,70,76,"Injury Prone, Leadership"
U. Đerić,27,195,95,Serbia,Gyeongnam FC,71,72,Right,High/Medium,"#Aerial Threat, #Strength",RS,2019-07-15,2023,,,60,71,48,62,29,78,Beat Offside Trap
M. Bianchetti,26,189,81,Italy,US Cremonese,71,72,Right,Medium/High,,SUB,2019-08-17,2023,,,64,35,52,57,70,74,Power Free-Kick
L. Krajnc,24,187,86,Slovenia,Frosinone,71,72,Left,Medium/Medium,,SUB,2018-07-01,2022,,,62,32,53,59,69,76,
Dener,27,189,77,Brazil,Portimonense SC,71,72,Right,High/Medium,,SUB,2015-02-02,2022,,,64,63,68,70,56,71,
P. Terracciano,29,193,78,Italy,Fiorentina,71,72,Right,Medium/Medium,,SUB,2019-07-07,2021,,,,,,,,,Acrobatic Clearance
I. Kiese Thelin,27,189,82,Sweden,RSC Anderlecht,71,72,Right,High/Medium,,ST,2017-08-31,2022,,,47,68,63,66,32,79,Diver
S. Dursun,27,190,80,Germany,SV Darmstadt 98,71,72,Right,High/Medium,,ST,2018-08-01,2021,,,60,70,52,67,31,72,"Selfish, Crowd Favourite"
F. Fragapane,26,167,65,Argentina,Club Atlético Talleres,71,72,Right,Medium/Medium,,RW,2019-07-03,2023,,,90,64,67,74,36,52,
J. Botaka,26,182,81,DR Congo,Sint-Truidense VV,71,72,Right,Medium/High,,RM,2017-07-01,2020,,,83,65,60,77,55,69,"Selfish, Crowd Favourite"
S. Longo,27,186,78,Italy,Deportivo de La Coruña,71,72,Right,High/Medium,,ST,,2020,,,72,70,57,70,38,74,
L. Kübler,26,182,74,Germany,SC Freiburg,71,72,Right,Medium/Medium,,SUB,2015-07-01,2020,,,67,47,57,62,72,67,
S. Hedlund,26,175,68,Sweden,Brøndby IF,71,72,Right,High/Medium,#Speedster,RW,2019-01-11,2020,,,90,63,63,74,28,62,"Diver, Early Crosser"
S. Holmén,27,185,77,Sweden,Willem II,71,72,Right,Low/Medium,,RCB,2019-07-24,2021,,,66,36,51,45,72,71,Injury Prone
S. Magnasco,26,175,72,Chile,Universidad Católica,71,72,Right,Medium/Medium,,RB,2014-08-04,2020,,,81,43,59,66,66,78,"Dives Into Tackles (CPU AI Only), Argues with Officials"
D. Linsmayer,27,182,79,Germany,SV Sandhausen,71,72,Left,Medium/Medium,,LDM,2013-07-01,2022,,,65,50,64,63,69,77,
L. Quintana,27,178,74,Mexico,U.N.A.M.,71,72,Right,Medium/Medium,,LCB,2011-01-01,2023,,,54,42,53,64,69,76,
M. Alaa,28,189,87,Egypt,Egypt,71,72,Right,Medium/Medium,#Strength,,,,RCB,20,60,32,57,50,70,77,
F. Calvo,26,180,77,Costa Rica,Chicago Fire,71,72,Left,High/Medium,,LCB,2019-05-03,2020,,,68,44,59,65,71,74,
Kim Jin Su,27,177,69,Korea Republic,Jeonbuk Hyundai Motors,71,72,Left,Medium/Medium,,LB,2017-01-12,2020,,,83,38,65,69,69,64,Inflexible
R. Schüller,28,177,67,Finland,Minnesota United FC,71,72,Left,Medium/High,,SUB,2017-01-24,2019,SUB,11,55,54,61,65,69,67,
M. Cuero,26,178,83,Colombia,Club Atlas,71,72,Right,Medium/Medium,#Speedster,SUB,,2020,,,90,67,62,73,28,59,Early Crosser
L. Díaz,27,182,80,Argentina,Atlético Tucumán,71,72,Right,Medium/Medium,,LS,2018-01-23,2023,,,70,69,63,69,26,69,
J. Garro,26,179,71,Argentina,Club Atlético Huracán,71,72,Right,High/High,,LW,2018-07-23,2022,,,81,64,60,72,27,64,Beat Offside Trap
E. Rescaldani,27,191,83,Argentina,Arsenal de Sarandí,71,72,Left,Medium/Medium,#Strength,LS,2019-07-03,2020,,,45,71,55,64,35,70,Long Passer (CPU AI Only)
M. Meli,27,178,70,Argentina,Central Córdoba,71,72,Right,High/High,#Engine,RCM,,2020,,,81,61,66,69,66,76,
F. Mussis,27,174,75,Argentina,Gimnasia y Esgrima La Plata,71,72,Right,Medium/High,,CAM,2019-01-21,2020,,,70,61,68,66,68,76,Injury Prone
J. Hugill,27,183,85,England,Queens Park Rangers,71,72,Right,High/High,,ST,,2020,,,72,68,52,65,38,85,Long Passer (CPU AI Only)
J. Correa,26,170,70,Argentina,Clube Sport Marítimo,71,72,Left,Medium/Low,,LM,2018-01-31,2021,,,72,68,68,73,27,62,Argues with Officials
Son Jun Ho,27,178,73,Korea Republic,Jeonbuk Hyundai Motors,71,72,Right,Medium/Medium,,RCM,2018-01-07,2024,,,56,62,68,64,62,68,
R. Mirzov,26,179,75,Russia,Spartak Moscow,71,72,Right,Medium/Medium,,SUB,2019-07-18,2022,,,81,64,65,76,50,63,"Beat Offside Trap, Selfish, Argues with Officials"
L. Hoyos,30,183,76,Argentina,Vélez Sarsfield,71,72,Right,Medium/Medium,,GK,2018-07-23,2022,,,,,,,,,Flair Passes
W. Montoya,25,175,73,Argentina,Racing Club,71,72,Right,Medium/Medium,,SUB,,2020,,,78,60,66,74,38,59,"Argues with Officials, Crowd Favourite"
Eber Bessa,27,166,60,Brazil,Vitória de Setúbal,71,72,Right,Medium/Medium,,LCM,2018-07-01,2020,,,70,63,69,74,60,54,"Diver, Argues with Officials"
K. Kerschbaumer,27,180,77,Austria,FC Ingolstadt 04,71,72,Right,High/High,#Engine,SUB,2018-07-01,2021,,,72,65,68,68,62,76,"Diver, Finesse Shot"
J. Meneses,26,163,58,Chile,Club León,71,72,Right,High/Medium,#Acrobat,LM,2018-08-01,2024,,,86,63,61,74,31,68,Crowd Favourite
S. Doi,27,172,63,Japan,Kashima Antlers,71,72,Right,High/Medium,,LS,2011-01-01,2022,,,72,70,68,74,47,57,
Neris,27,192,86,Brazil,Boavista FC,71,72,Right,Low/High,#Strength,LCB,2018-07-11,2020,,,50,39,47,42,70,83,
Alberto Benito,27,176,68,Spain,Albacete BP,71,72,Right,High/Medium,,RB,2019-07-01,2021,,,77,41,59,66,66,77,"Power Free-Kick, Early Crosser"
Ângelo Neto,27,181,75,Brazil,Al Fayha,71,72,Right,Medium/Medium,,LCM,2019-07-23,2022,,,62,64,67,72,62,74,Injury Prone
B. Johnsen,27,195,81,Norway,AZ Alkmaar,71,72,Right,Medium/High,#Aerial Threat,SUB,2018-07-27,2022,LS,21,72,70,52,64,48,74,
C. Ganea,27,176,73,Romania,Athletic Club de Bilbao,71,72,Left,Medium/Medium,,SUB,2018-07-02,2021,,,77,62,59,67,66,69,
Y. Makarenko,28,184,84,Ukraine,RSC Anderlecht,71,72,Left,Medium/Medium,,RES,2018-07-01,2022,,,67,57,70,66,70,69,Argues with Officials
N. Bancu,26,178,65,Romania,Universitatea Craiova,71,72,Left,High/Medium,,LB,2014-07-14,2020,LB,11,78,64,66,71,66,75,
K. Eissa,29,178,64,United Arab Emirates,Al Ain FC,71,72,Right,Medium/Medium,,GK,2014-01-01,2024,,,,,,,,,Flair Passes
A. Espino,27,172,71,Uruguay,Cádiz CF,71,72,Left,High/Medium,,SUB,2019-01-28,2021,,,76,59,62,64,68,74,
N. Rimando,40,178,83,United States,Real Salt Lake,71,71,Right,Medium/Medium,,GK,2007-02-23,2019,,,,,,,,,"Avoids Using Weaker Foot, Swerve Pass"
T. Howard,40,191,88,United States,Colorado Rapids,71,71,Right,Medium/Medium,,GK,2016-07-04,2019,,,,,,,,,"Avoids Using Weaker Foot, Flair, Acrobatic Clearance"
J. Wiland,38,188,78,Sweden,Hammarby IF,71,71,Right,Medium/Medium,,GK,2017-07-28,2019,,,,,,,,,Power Free-Kick
O. Deschacht,38,183,81,Belgium,SV Zulte-Waregem,71,71,Left,Medium/High,,LCB,2019-07-24,2020,,,37,45,60,52,75,69,Giant Throw-in
I. de Camargo,36,187,85,Belgium,KV Mechelen,71,71,Right,Medium/Medium,,SUB,2018-07-01,2020,,,43,71,63,66,50,77,Long Passer (CPU AI Only)
J. Poulsen,35,181,75,Denmark,FC Midtjylland,71,71,Right,Medium/Medium,,RES,2014-01-21,2020,,,48,70,72,67,61,70,"Avoids Using Weaker Foot, Finesse Shot"
A. Turan,35,186,81,Turkey,Atiker Konyaspor,71,71,Right,Low/High,,RCB,2012-09-01,2020,,,32,37,56,55,72,64,Injury Prone
E. Hallfreðsson,35,186,86,Iceland,Udinese,71,71,Left,High/High,,RES,2019-03-02,2022,LCM,20,54,62,73,72,70,67,"Long Throw-in, Argues with Officials, Crowd Favourite"
M. Liendl,33,176,74,Austria,Wolfsberger AC,71,71,Left,Medium/Medium,,CAM,2018-07-01,2021,,,53,70,73,70,52,63,"Beat Offside Trap, Leadership, Argues with Officials, Finesse Shot"
G. Lux,37,185,77,Argentina,River Plate,71,71,Right,Medium/Medium,,SUB,2017-06-27,2020,,,,,,,,,"Power Free-Kick, Giant Throw-in, Flair Passes"
B. Cesar,36,191,89,Slovenia,Chievo Verona,71,71,Left,Low/Medium,#Strength,LCB,2010-07-01,2020,,,32,27,39,52,71,71,"Diver, Avoids Using Weaker Foot"
F. Boeckx,32,181,80,Belgium,RSC Anderlecht,71,71,Right,Medium/Medium,,RES,2015-08-31,2020,,,,,,,,,Avoids Using Weaker Foot
S. Silva,38,186,80,Uruguay,Argentinos Juniors,71,71,Right,Medium/Medium,#Strength,ST,2019-07-03,2020,,,35,74,62,64,44,72,"Long Throw-in, Injury Free, Long Passer (CPU AI Only)"
D. Marshall,34,190,83,Scotland,Wigan Athletic,71,71,Right,Medium/Medium,,GK,2019-07-08,2021,GK,1,,,,,,,Second Wind
C. Araujo,37,172,69,Argentina,Club Atlético Huracán,71,71,Right,Medium/Medium,,LB,2016-01-04,2020,,,59,45,61,75,75,67,
J. Gutiérrez,35,184,83,Argentina,Club Atlético Banfield,71,71,Right,Medium/High,,SUB,2019-06-20,2020,,,62,61,71,69,66,73,"Early Crosser, Giant Throw-in"
M. Demir,27,180,69,Turkey,Medipol Başakşehir FK,71,71,Right,High/Low,,RES,2019-07-07,2023,,,73,72,68,73,37,64,"Selfish, Argues with Officials"
E. Albayrak,28,179,69,Turkey,Júbilo Iwata,71,71,Left,Medium/Medium,,SUB,2018-08-29,2023,,,80,66,71,71,66,67,"Power Free-Kick, Dives Into Tackles (CPU AI Only)"
Tito,33,175,64,Spain,Rayo Vallecano,71,71,Right,Medium/Medium,,RB,2018-07-29,2020,,,69,45,65,68,70,68,Diver
Seoane,36,176,73,Spain,CD Lugo,71,71,Right,Medium/High,,LDM,2012-08-01,2021,,,55,57,64,60,68,78,"Diver, Avoids Using Weaker Foot, Giant Throw-in"
Susaeta,34,178,74,Spain,Albacete BP,71,71,Right,Medium/Medium,,RCM,2017-08-02,2021,,,63,70,74,71,53,63,"Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials"
M. Stefani,35,180,80,Italy,Pordenone,71,71,Right,Low/High,,RCB,2015-07-01,2021,,,60,43,53,49,72,69,
M. Caligiuri,35,180,75,Germany,SpVgg Greuther Fürth,71,71,Right,Low/Medium,,RCB,2014-08-22,2020,,,51,56,64,65,70,70,
J. Perbet,34,184,84,France,Sporting de Charleroi,71,71,Right,Medium/Low,,SUB,2018-07-01,2021,,,47,74,50,59,24,63,
A. Tettey,33,180,68,Norway,Norwich City,71,71,Right,Medium/High,,SUB,2012-08-25,2020,,,64,64,64,62,71,76,"Injury Prone, Avoids Using Weaker Foot"
A. Mureșan,33,189,80,Romania,CFR Cluj,71,71,Right,Medium/High,,LCB,2015-07-06,2020,,,51,45,52,43,69,82,
C. Săpunaru,35,187,81,Romania,Denizlispor,71,71,Right,Medium/High,,LCB,2019-07-01,2020,LCB,22,55,67,64,66,68,76,"Inflexible, Injury Prone"
P. Pentke,34,191,84,Germany,TSG 1899 Hoffenheim,71,71,Right,Medium/Medium,,SUB,2019-07-01,2021,,,,,,,,,Swerve Pass
C. Berra,34,191,92,Scotland,Heart of Midlothian,71,71,Left,Medium/High,#Strength,LCB,2017-07-01,2021,,,34,35,39,44,72,79,"Diver, Avoids Using Weaker Foot, Long Passer (CPU AI Only), Giant Throw-in"
A. Song,31,185,74,Cameroon,FC Sion,71,71,Right,Medium/Medium,,SUB,2018-08-14,2020,,,64,55,66,68,70,67,Power Free-Kick
U. Hünemeier,33,189,85,Germany,SC Paderborn 07,71,71,Right,Medium/Medium,,LCB,2018-07-01,2020,,,51,47,60,55,71,66,"Long Passer (CPU AI Only), Giant Throw-in"
C. Campestrini,39,181,82,Argentina,CD Everton de Viña del Mar,71,71,Right,Medium/Medium,,GK,2019-01-09,2020,,,,,,,,,
T. Kessler,33,197,92,Germany,1. FC Köln,71,71,Right,Medium/Medium,,SUB,2007-01-21,2020,,,,,,,,,Giant Throw-in
J. Ménez,32,183,77,France,Club América,71,71,Right,Medium/Low,,SUB,2018-01-06,2024,,,68,69,68,78,35,52,"Power Free-Kick, Injury Free, Selfish, Speed Dribbler (CPU AI Only)"
N. Ortigoza,34,180,78,Paraguay,Rosario Central,71,71,Right,Medium/Medium,,CAM,2017-12-28,2019,,,32,60,73,65,65,70,"Power Free-Kick, Finesse Shot"
E. Culio,35,176,78,Argentina,CFR Cluj,71,71,Left,Medium/Medium,,RES,2017-07-01,2024,,,44,68,71,69,61,78,
R. Pasveer,35,188,88,Netherlands,Vitesse,71,71,Right,Medium/Medium,,GK,2017-07-05,2020,,,,,,,,,"Leadership, Acrobatic Clearance, Flair Passes"
P. Gallagher,34,185,70,Scotland,Preston North End,71,71,Right,Medium/Medium,,LDM,2015-06-16,2020,,,53,68,74,67,61,62,"Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials, Finesse Shot, Giant Throw-in"
R. Keogh,32,188,87,Republic of Ireland,Derby County,71,71,Right,High/Medium,,RCB,2012-07-19,2021,RCB,5,58,31,59,62,71,74,"Diver, Injury Prone, Avoids Using Weaker Foot, Giant Throw-in"
G. Gillet,35,186,81,Belgium,Racing Club de Lens,71,71,Right,High/High,,LDM,2018-08-02,2020,,,57,67,67,67,69,75,Avoids Using Weaker Foot
D. Graham,33,183,87,England,Blackburn Rovers,71,71,Right,Medium/Medium,,SUB,2016-07-01,2020,,,40,72,61,64,48,75,"Beat Offside Trap, Giant Throw-in"
C. Obasi,33,188,79,Nigeria,AIK,71,71,Right,Medium/Medium,,LS,2019-01-22,2019,,,69,69,65,72,42,69,Crowd Favourite
A. Federici,34,188,90,Australia,Stoke City,71,71,Right,Medium/Medium,,SUB,2018-07-03,2020,,,,,,,,,Second Wind
G. Dicker,32,183,81,Republic of Ireland,Kilmarnock,71,71,Right,Medium/High,,CDM,2016-02-01,2020,,,55,46,64,61,70,79,"Avoids Using Weaker Foot, Leadership, Finesse Shot, Giant Throw-in"
F. Gago,33,177,76,Argentina,Vélez Sarsfield,71,71,Right,Medium/Medium,,SUB,2019-07-03,2020,,,52,54,75,70,59,62,"Power Free-Kick, Leadership, Finesse Shot, Giant Throw-in"
J. Torres Nilo,31,180,78,Mexico,Tigres U.A.N.L.,71,71,Left,Medium/High,,LCB,2010-07-01,2024,,,73,46,61,65,69,83,
N. Bendtner,31,193,84,Denmark,Rosenborg BK,71,71,Right,Medium/Low,,SUB,2017-03-06,2019,,,63,71,66,66,43,71,"Selfish, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)"
H. Goitom,34,189,85,Eritrea,AIK,71,71,Right,Medium/Medium,#Strength,RS,2017-03-07,2019,,,55,68,65,67,45,76,Selfish
Carmona,31,177,71,Spain,Real Sporting de Gijón,71,71,Right,Medium/Medium,,RM,2012-07-01,2021,,,67,68,72,71,45,65,"Dives Into Tackles (CPU AI Only), Finesse Shot, Crowd Favourite"
M. Madl,31,182,78,Austria,FK Austria Wien,71,71,Right,Medium/High,,SUB,2018-01-16,2021,,,53,51,61,57,71,80,Diver
U. Emanuelson,33,176,68,Netherlands,FC Utrecht,71,71,Left,Medium/Medium,,SUB,2017-07-10,2020,,,75,65,70,73,66,65,Dives Into Tackles (CPU AI Only)
M. Ardemagni,32,185,83,Italy,Ascoli,71,71,Right,Medium/Medium,#Strength,RS,2018-08-16,2021,,,70,67,49,64,22,79,Long Passer (CPU AI Only)
M. Mancosu,30,180,77,Italy,Lecce,71,71,Right,Medium/Medium,,CAM,2016-07-19,2021,,,67,66,68,70,41,65,Argues with Officials
D. Dessena,32,183,75,Italy,Brescia,71,71,Right,Medium/High,,LCM,2019-01-10,2020,,,63,67,69,68,70,74,Giant Throw-in
A. Barillà,31,180,78,Italy,Parma,71,71,Left,High/Medium,,SUB,2017-07-03,2020,,,82,65,69,70,67,76,Diver
Feng Xiaoting,33,187,78,China PR,Guangzhou Evergrande Taobao FC,71,71,Right,High/High,,RCB,2011-01-01,2020,,,58,41,64,54,72,70,"Leadership, Finesse Shot, Giant Throw-in"
K. Steppe,30,184,70,Belgium,Sint-Truidense VV,71,71,Right,Medium/Medium,,SUB,2017-07-19,2021,,,,,,,,,
S. Kljestan,33,185,77,United States,Orlando City SC,71,71,Right,Medium/High,,CAM,2018-01-03,2024,,,54,65,75,68,54,70,"Diver, Finesse Shot"
Jung Sung Ryong,34,191,90,Korea Republic,Kawasaki Frontale,71,71,Right,Medium/Medium,,GK,2016-01-01,2022,,,,,,,,,"Power Free-Kick, Second Wind"
J. Domínguez,31,175,73,Mexico,Cruz Azul,71,71,Right,High/High,,LCB,2006-07-01,2022,,,66,41,58,60,70,73,Avoids Using Weaker Foot
L. Baal,33,176,75,France,Stade Brestois 29,71,71,Left,High/Medium,,SUB,2019-07-31,2020,,,66,50,66,65,70,72,Power Free-Kick
A. Matri,34,183,80,Italy,Sassuolo,71,71,Right,High/Low,,SUB,2016-08-16,2020,,,60,68,58,67,37,65,Long Passer (CPU AI Only)
T. Derijck,32,186,81,Belgium,KAA Gent,71,71,Right,Medium/High,,SUB,2018-08-27,2020,,,46,45,50,50,73,71,Long Passer (CPU AI Only)
F. Rodríguez,30,184,80,Mexico,Atlético de San Luis,71,71,Right,Medium/Medium,,GK,2019-07-11,2022,,,,,,,,,Acrobatic Clearance
A. Costa,33,182,73,Italy,Benevento,71,71,Left,Medium/Medium,,SUB,2017-07-13,2022,,,65,37,49,61,71,71,
R. Faty,32,192,82,Senegal,MKE Ankaragücü,71,71,Right,Medium/High,,SUB,2018-07-01,2020,,,53,49,59,67,71,81,
R. Boffin,31,196,86,Belgium,Antalyaspor,71,71,Right,Medium/Medium,,GK,2017-06-23,2020,,,,,,,,,
C. Mulgrew,33,191,83,Scotland,Wigan Athletic,71,71,Left,Low/Medium,,SUB,,2020,RCB,4,51,63,70,65,71,74,
J. García,32,182,77,Argentina,Racing Club,71,71,Right,Medium/Medium,,SUB,2017-08-23,2020,,,,,,,,,Flair
B. Capon,31,181,72,Belgium,KV Oostende,71,71,Right,High/High,#Engine,RB,2015-07-15,2021,,,72,66,67,68,68,71,Giant Throw-in
William,32,175,72,Brazil,Deportivo Toluca,71,71,Left,High/High,,CM,2018-07-01,2022,,,73,70,67,70,64,77,Giant Throw-in
T. Elphick,31,187,85,England,Huddersfield Town,71,71,Right,Medium/High,,RCB,2019-07-01,2021,,,38,37,51,55,70,70,Long Passer (CPU AI Only)
A. Hloušek,30,188,79,Czech Republic,Viktoria Plzeň,71,71,Left,High/Medium,,SUB,2019-07-01,2022,,,74,59,66,67,67,75,Dives Into Tackles (CPU AI Only)
A. Gerndt,32,185,80,Sweden,FC Lugano,71,71,Left,Medium/Medium,,RS,2017-08-03,2021,,,76,72,70,71,33,70,"Beat Offside Trap, Argues with Officials"
Léo Silva,33,181,76,Brazil,Kashima Antlers,71,71,Right,Medium/Medium,,LDM,2017-01-07,2022,,,60,67,68,73,65,76,"Selfish, Finesse Shot, Speed Dribbler (CPU AI Only)"
S. Williams,32,185,80,Republic of Ireland,Millwall,71,71,Left,Medium/High,,LDM,2014-01-27,2020,,,58,62,71,66,70,76,"Diver, Leadership"
Zeng Cheng,32,191,83,China PR,Guangzhou Evergrande Taobao FC,71,71,Right,Medium/Medium,,GK,2013-01-01,2021,,,,,,,,,"Giant Throw-in, Acrobatic Clearance"
Denis,32,188,86,Brazil,Gil Vicente FC,71,71,Right,Medium/Medium,,GK,2019-08-05,2021,,,,,,,,,Flair
K. Barbarouses,29,171,68,New Zealand,Sydney FC,71,71,Right,High/Medium,#Acrobat,RS,2019-07-24,2022,RW,16,85,70,62,73,32,68,"Early Crosser, Speed Dribbler (CPU AI Only)"
G. Berardi,30,179,72,Switzerland,Leeds United,71,71,Right,Medium/High,,SUB,2014-07-19,2020,,,70,39,60,64,70,77,"Inflexible, Power Free-Kick, Injury Prone"
R. Kruse,30,179,70,Australia,Melbourne Victory,71,71,Right,Medium/Medium,,LW,2019-07-25,2021,SUB,10,77,69,66,70,40,58,Power Free-Kick
M. Mavraj,33,189,84,Albania,SpVgg Greuther Fürth,71,71,Left,Medium/Medium,,LCB,2019-07-01,2021,,,32,27,51,41,72,70,Leadership
